X,Y,Z,Rx,Ry,Rz
957.758,21.441,-165.29,175.9951,17.9273,58.6604
957.759,21.377,-165.29,175.9951,17.9273,58.6604
957.76,21.313,-165.289,175.9951,17.9273,58.6604
957.76,21.249,-165.289,175.9951,17.9273,58.6604
957.761,21.185,-165.289,175.9951,17.9273,58.6604
957.762,21.121,-165.288,175.9951,17.9273,58.6604
957.763,21.057,-165.288,175.9951,17.9273,58.6604
957.764,20.993,-165.288,175.9951,17.9273,58.6604
957.765,20.929,-165.287,175.9951,17.9273,58.6604
957.765,20.865,-165.287,175.9951,17.9273,58.6604
957.766,20.802,-165.287,175.9951,17.9273,58.6604
957.767,20.738,-165.286,175.9951,17.9273,58.6604
957.768,20.674,-165.286,175.9951,17.9273,58.6604
957.769,20.61,-165.286,175.9951,17.9273,58.6604
957.769,20.546,-165.286,175.9951,17.9273,58.6604
957.77,20.482,-165.285,175.9951,17.9273,58.6604
957.771,20.418,-165.285,175.9951,17.9273,58.6604
957.772,20.354,-165.285,175.9951,17.9273,58.6604
957.773,20.29,-165.284,175.9951,17.9273,58.6604
957.773,20.226,-165.284,175.9951,17.9273,58.6604
957.774,20.162,-165.284,175.9951,17.9273,58.6604
957.775,20.098,-165.283,175.9951,17.9273,58.6604
957.776,20.034,-165.283,175.9951,17.9273,58.6604
957.777,19.97,-165.283,175.9951,17.9273,58.6604
957.778,19.906,-165.282,175.9951,17.9273,58.6604
957.778,19.842,-165.282,175.9951,17.9273,58.6604
957.779,19.778,-165.282,175.9951,17.9273,58.6604
957.78,19.714,-165.281,175.9951,17.9273,58.6604
957.781,19.651,-165.281,175.9951,17.9273,58.6604
957.782,19.587,-165.281,175.9951,17.9273,58.6604
957.782,19.523,-165.28,175.9951,17.9273,58.6604
957.783,19.459,-165.28,175.9951,17.9273,58.6604
957.784,19.395,-165.28,175.9951,17.9273,58.6604
957.785,19.331,-165.279,175.9951,17.9273,58.6604
957.786,19.267,-165.279,175.9951,17.9273,58.6604
957.787,19.203,-165.279,175.9951,17.9273,58.6604
957.787,19.139,-165.279,175.9951,17.9273,58.6604
957.788,19.075,-165.278,175.9951,17.9273,58.6604
957.789,19.011,-165.278,175.9951,17.9273,58.6604
957.79,18.947,-165.278,175.9951,17.9273,58.6604
957.791,18.883,-165.277,175.9951,17.9273,58.6604
957.791,18.819,-165.277,175.9951,17.9273,58.6604
957.792,18.755,-165.277,175.9951,17.9273,58.6604
957.793,18.691,-165.276,175.9951,17.9273,58.6604
957.794,18.627,-165.276,175.9951,17.9273,58.6604
957.795,18.563,-165.276,175.9951,17.9273,58.6604
957.796,18.499,-165.275,175.9951,17.9273,58.6604
957.796,18.436,-165.275,175.9951,17.9273,58.6604
957.797,18.372,-165.275,175.9951,17.9273,58.6604
957.798,18.308,-165.274,175.9951,17.9273,58.6604
957.799,18.244,-165.274,175.9951,17.9273,58.6604
957.8,18.18,-165.274,175.9951,17.9273,58.6604
957.8,18.116,-165.273,175.9951,17.9273,58.6604
957.801,18.052,-165.273,175.9951,17.9273,58.6604
957.802,17.988,-165.273,175.9951,17.9273,58.6604
957.803,17.924,-165.272,175.9951,17.9273,58.6604
957.804,17.86,-165.272,175.9951,17.9273,58.6604
957.804,17.796,-165.272,175.9951,17.9273,58.6604
957.805,17.732,-165.271,175.9951,17.9273,58.6604
957.806,17.668,-165.271,175.9951,17.9273,58.6604
957.807,17.604,-165.271,175.9951,17.9273,58.6604
957.808,17.54,-165.271,175.9951,17.9273,58.6604
957.809,17.476,-165.27,175.9951,17.9273,58.6604
957.809,17.412,-165.27,175.9951,17.9273,58.6604
957.81,17.348,-165.27,175.9951,17.9273,58.6604
957.811,17.284,-165.269,175.9951,17.9273,58.6604
957.812,17.221,-165.269,175.9951,17.9273,58.6604
957.813,17.157,-165.269,175.9951,17.9273,58.6604
957.813,17.093,-165.268,175.9951,17.9273,58.6604
957.814,17.029,-165.268,175.9951,17.9273,58.6604
957.815,16.965,-165.268,175.9951,17.9273,58.6604
957.816,16.901,-165.267,175.9951,17.9273,58.6604
957.817,16.837,-165.267,175.9951,17.9273,58.6604
957.818,16.773,-165.267,175.9951,17.9273,58.6604
957.818,16.709,-165.266,175.9951,17.9273,58.6604
957.819,16.645,-165.266,175.9951,17.9273,58.6604
957.82,16.581,-165.266,175.9951,17.9273,58.6604
957.821,16.517,-165.265,175.9951,17.9273,58.6604
957.822,16.453,-165.265,175.9951,17.9273,58.6604
957.822,16.389,-165.265,175.9951,17.9273,58.6604
957.823,16.325,-165.264,175.9951,17.9273,58.6604
957.824,16.261,-165.264,175.9951,17.9273,58.6604
957.825,16.197,-165.264,175.9951,17.9273,58.6604
957.826,16.133,-165.264,175.9951,17.9273,58.6604
957.827,16.07,-165.263,175.9951,17.9273,58.6604
957.827,16.006,-165.263,175.9951,17.9273,58.6604
957.828,15.942,-165.263,175.9951,17.9273,58.6604
957.829,15.878,-165.262,175.9951,17.9273,58.6604
957.83,15.814,-165.262,175.9951,17.9273,58.6604
957.831,15.75,-165.262,175.9951,17.9273,58.6604
957.831,15.686,-165.261,175.9951,17.9273,58.6604
957.832,15.622,-165.261,175.9951,17.9273,58.6604
957.833,15.558,-165.261,175.9951,17.9273,58.6604
957.834,15.494,-165.26,175.9951,17.9273,58.6604
957.835,15.43,-165.26,175.9951,17.9273,58.6604
957.835,15.366,-165.26,175.9951,17.9273,58.6604
957.836,15.302,-165.259,175.9951,17.9273,58.6604
957.837,15.238,-165.259,175.9951,17.9273,58.6604
957.838,15.174,-165.259,175.9951,17.9273,58.6604
957.839,15.11,-165.258,175.9951,17.9273,58.6604
957.84,15.046,-165.258,175.9951,17.9273,58.6604
957.84,14.982,-165.258,175.9951,17.9273,58.6604
957.841,14.918,-165.257,175.9951,17.9273,58.6604
957.842,14.855,-165.257,175.9951,17.9273,58.6604
957.843,14.791,-165.257,175.9951,17.9273,58.6604
957.844,14.727,-165.256,175.9951,17.9273,58.6604
957.844,14.663,-165.256,175.9951,17.9273,58.6604
957.845,14.599,-165.256,175.9951,17.9273,58.6604
957.846,14.535,-165.256,175.9951,17.9273,58.6604
957.847,14.471,-165.255,175.9951,17.9273,58.6604
957.848,14.407,-165.255,175.9951,17.9273,58.6604
957.849,14.343,-165.255,175.9951,17.9273,58.6604
957.849,14.279,-165.254,175.9951,17.9273,58.6604
957.85,14.215,-165.254,175.9951,17.9273,58.6604
957.851,14.151,-165.254,175.9951,17.9273,58.6604
957.852,14.087,-165.253,175.9951,17.9273,58.6604
957.853,14.023,-165.253,175.9951,17.9273,58.6604
957.853,13.959,-165.253,175.9951,17.9273,58.6604
957.854,13.895,-165.252,175.9951,17.9273,58.6604
957.855,13.831,-165.252,175.9951,17.9273,58.6604
957.856,13.767,-165.252,175.9951,17.9273,58.6604
957.857,13.703,-165.251,175.9951,17.9273,58.6604
957.858,13.64,-165.251,175.9951,17.9273,58.6604
957.858,13.576,-165.251,175.9951,17.9273,58.6604
