X,Y,Z,Rx,Ry,Rz
958.846,21.499,-165.125,175.9936,17.9183,58.6757
958.847,21.435,-165.125,175.9936,17.9183,58.6757
958.847,21.371,-165.125,175.9936,17.9183,58.6757
958.848,21.307,-165.125,175.9936,17.9183,58.6757
958.848,21.243,-165.125,175.9936,17.9183,58.6757
958.849,21.179,-165.125,175.9936,17.9183,58.6757
958.849,21.115,-165.125,175.9936,17.9183,58.6757
958.85,21.051,-165.125,175.9936,17.9183,58.6757
958.85,20.987,-165.125,175.9936,17.9183,58.6757
958.851,20.924,-165.125,175.9936,17.9183,58.6757
958.851,20.86,-165.125,175.9936,17.9183,58.6757
958.852,20.796,-165.125,175.9936,17.9183,58.6757
958.852,20.732,-165.125,175.9936,17.9183,58.6757
958.853,20.668,-165.125,175.9936,17.9183,58.6757
958.853,20.604,-165.125,175.9936,17.9183,58.6757
958.854,20.54,-165.125,175.9936,17.9183,58.6757
958.855,20.476,-165.125,175.9936,17.9183,58.6757
958.855,20.412,-165.125,175.9936,17.9183,58.6757
958.856,20.348,-165.125,175.9936,17.9183,58.6757
958.856,20.284,-165.125,175.9936,17.9183,58.6757
958.857,20.22,-165.125,175.9936,17.9183,58.6757
958.857,20.156,-165.125,175.9936,17.9183,58.6757
958.858,20.092,-165.125,175.9936,17.9183,58.6757
958.858,20.028,-165.125,175.9936,17.9183,58.6757
958.859,19.964,-165.125,175.9936,17.9183,58.6757
958.859,19.901,-165.125,175.9936,17.9183,58.6757
958.86,19.837,-165.125,175.9936,17.9183,58.6757
958.86,19.773,-165.125,175.9936,17.9183,58.6757
958.861,19.709,-165.125,175.9936,17.9183,58.6757
958.861,19.645,-165.125,175.9936,17.9183,58.6757
958.862,19.581,-165.125,175.9936,17.9183,58.6757
958.862,19.517,-165.125,175.9936,17.9183,58.6757
958.863,19.453,-165.125,175.9936,17.9183,58.6757
958.864,19.389,-165.125,175.9936,17.9183,58.6757
958.864,19.325,-165.125,175.9936,17.9183,58.6757
958.865,19.261,-165.126,175.9936,17.9183,58.6757
958.865,19.197,-165.126,175.9936,17.9183,58.6757
958.866,19.133,-165.126,175.9936,17.9183,58.6757
958.866,19.069,-165.126,175.9936,17.9183,58.6757
958.867,19.005,-165.126,175.9936,17.9183,58.6757
958.867,18.941,-165.126,175.9936,17.9183,58.6757
958.868,18.877,-165.126,175.9936,17.9183,58.6757
958.868,18.814,-165.126,175.9936,17.9183,58.6757
958.869,18.75,-165.126,175.9936,17.9183,58.6757
958.869,18.686,-165.126,175.9936,17.9183,58.6757
958.87,18.622,-165.126,175.9936,17.9183,58.6757
958.87,18.558,-165.126,175.9936,17.9183,58.6757
958.871,18.494,-165.126,175.9936,17.9183,58.6757
958.872,18.43,-165.126,175.9936,17.9183,58.6757
958.872,18.366,-165.126,175.9936,17.9183,58.6757
958.873,18.302,-165.126,175.9936,17.9183,58.6757
958.873,18.238,-165.126,175.9936,17.9183,58.6757
958.874,18.174,-165.126,175.9936,17.9183,58.6757
958.874,18.11,-165.126,175.9936,17.9183,58.6757
958.875,18.046,-165.126,175.9936,17.9183,58.6757
958.875,17.982,-165.126,175.9936,17.9183,58.6757
958.876,17.918,-165.126,175.9936,17.9183,58.6757
958.876,17.854,-165.126,175.9936,17.9183,58.6757
958.877,17.79,-165.126,175.9936,17.9183,58.6757
958.877,17.727,-165.126,175.9936,17.9183,58.6757
958.878,17.663,-165.126,175.9936,17.9183,58.6757
958.878,17.599,-165.126,175.9936,17.9183,58.6757
958.879,17.535,-165.126,175.9936,17.9183,58.6757
958.879,17.471,-165.126,175.9936,17.9183,58.6757
958.88,17.407,-165.126,175.9936,17.9183,58.6757
958.881,17.343,-165.126,175.9936,17.9183,58.6757
958.881,17.279,-165.126,175.9936,17.9183,58.6757
958.882,17.215,-165.126,175.9936,17.9183,58.6757
958.882,17.151,-165.126,175.9936,17.9183,58.6757
958.883,17.087,-165.126,175.9936,17.9183,58.6757
958.883,17.023,-165.126,175.9936,17.9183,58.6757
958.884,16.959,-165.126,175.9936,17.9183,58.6757
958.884,16.895,-165.126,175.9936,17.9183,58.6757
958.885,16.831,-165.126,175.9936,17.9183,58.6757
958.885,16.767,-165.126,175.9936,17.9183,58.6757
958.886,16.704,-165.126,175.9936,17.9183,58.6757
958.886,16.64,-165.126,175.9936,17.9183,58.6757
958.887,16.576,-165.126,175.9936,17.9183,58.6757
958.887,16.512,-165.126,175.9936,17.9183,58.6757
958.888,16.448,-165.126,175.9936,17.9183,58.6757
958.889,16.384,-165.126,175.9936,17.9183,58.6757
958.889,16.32,-165.126,175.9936,17.9183,58.6757
958.89,16.256,-165.126,175.9936,17.9183,58.6757
958.89,16.192,-165.126,175.9936,17.9183,58.6757
958.891,16.128,-165.126,175.9936,17.9183,58.6757
958.891,16.064,-165.126,175.9936,17.9183,58.6757
958.892,16.0,-165.126,175.9936,17.9183,58.6757
958.892,15.936,-165.126,175.9936,17.9183,58.6757
958.893,15.872,-165.126,175.9936,17.9183,58.6757
958.893,15.808,-165.126,175.9936,17.9183,58.6757
958.894,15.744,-165.126,175.9936,17.9183,58.6757
958.894,15.68,-165.126,175.9936,17.9183,58.6757
958.895,15.617,-165.126,175.9936,17.9183,58.6757
958.895,15.553,-165.126,175.9936,17.9183,58.6757
958.896,15.489,-165.126,175.9936,17.9183,58.6757
958.897,15.425,-165.126,175.9936,17.9183,58.6757
958.897,15.361,-165.126,175.9936,17.9183,58.6757
958.898,15.297,-165.126,175.9936,17.9183,58.6757
958.898,15.233,-165.126,175.9936,17.9183,58.6757
958.899,15.169,-165.126,175.9936,17.9183,58.6757
958.899,15.105,-165.126,175.9936,17.9183,58.6757
958.9,15.041,-165.126,175.9936,17.9183,58.6757
958.9,14.977,-165.126,175.9936,17.9183,58.6757
958.901,14.913,-165.127,175.9936,17.9183,58.6757
958.901,14.849,-165.127,175.9936,17.9183,58.6757
958.902,14.785,-165.127,175.9936,17.9183,58.6757
958.902,14.721,-165.127,175.9936,17.9183,58.6757
958.903,14.657,-165.127,175.9936,17.9183,58.6757
958.903,14.593,-165.127,175.9936,17.9183,58.6757
958.904,14.53,-165.127,175.9936,17.9183,58.6757
